,m,ac_bfs.cpp,ac_dense.cpp,ac_dense_merge.cpp,ac_sweep.cpp,dijkstra_two.cpp,naive.cpp,resolution.cpp
0,10,140,218,186,140,77,62,109
1,10,156,217,171,140,62,93,93
2,10,124,249,186,140,62,78,78
3,10,140,248,202,140,93,78,93
4,10,124,249,186,109,93,62,108
5,10,124,265,171,140,109,62,93
6,10,156,218,171,140,93,93,124
7,10,155,233,187,155,109,93,109
8,10,140,233,155,139,93,62,78
9,10,156,234,170,156,78,93,78
10,12,140,248,170,140,78,78,93
11,12,140,233,170,156,78,62,93
12,12,140,218,171,140,78,62,109
13,12,124,264,171,155,62,78,78
14,12,156,233,155,140,93,93,108
15,12,139,217,171,140,62,78,93
16,12,140,218,202,140,93,78,78
17,12,124,249,170,140,62,93,78
18,12,155,264,171,156,109,62,93
19,12,140,233,187,155,62,78,93
20,15,124,249,171,140,78,78,109
21,15,171,233,202,156,109,62,93
22,15,124,249,170,140,93,78,109
23,15,140,248,171,156,93,77,93
24,15,140,186,186,140,78,62,62
25,15,171,218,171,139,62,62,93
26,15,140,233,186,139,62,93,93
27,15,124,233,171,155,62,78,109
28,15,140,234,186,171,62,93,109
29,15,140,233,186,171,62,78,109
30,20,155,218,202,171,46,93,109
31,20,140,234,187,109,78,78,124
32,20,171,233,186,124,78,77,139
33,20,171,233,171,140,93,78,124
34,20,156,233,170,139,78,93,124
35,20,155,234,171,156,93,78,171
36,20,156,218,170,139,62,62,109
37,20,156,218,186,124,93,78,140
38,20,156,233,170,140,93,93,93
39,20,140,234,171,139,109,93,109
40,25,124,233,187,155,62,108,171
41,25,156,233,170,124,109,93,140
42,25,140,234,171,171,62,108,171
43,25,140,249,187,156,77,109,171
44,25,139,217,171,140,62,93,124
45,25,140,233,187,124,46,93,156
46,25,156,265,187,139,62,78,140
47,25,140,217,171,140,93,78,171
48,25,156,217,186,139,77,109,156
49,25,155,217,171,139,77,93,140
50,31,140,234,218,140,108,93,217
51,31,139,217,170,139,109,93,171
52,31,156,233,155,156,78,93,171
53,31,124,280,186,171,77,78,187
54,31,156,217,187,140,78,62,171
55,31,140,265,186,140,62,78,171
56,31,140,233,171,139,78,78,187
57,31,124,233,186,124,78,93,202
58,31,156,249,186,155,78,78,187
59,31,156,218,171,140,93,78,171
60,40,124,264,170,156,78,93,296
61,40,140,233,171,187,78,93,249
62,40,155,217,171,109,93,93,249
63,40,124,234,187,155,93,77,249
64,40,124,233,171,140,78,93,295
65,40,140,202,186,140,78,93,265
66,40,156,217,202,155,93,93,280
67,40,140,233,187,124,93,93,296
68,40,140,233,170,140,93,109,280
69,40,124,233,171,140,93,93,249
70,50,156,217,170,155,93,124,343
71,50,140,249,187,140,93,93,358
72,50,124,218,171,124,93,109,390
73,50,140,218,171,140,78,109,358
74,50,140,233,171,124,62,109,390
75,50,139,234,171,156,108,109,358
76,50,140,264,170,140,46,124,405
77,50,140,234,171,155,93,109,389
78,50,140,233,202,140,93,124,373
79,50,140,248,187,140,62,93,374
80,63,156,233,171,140,78,124,561
81,63,156,233,187,140,78,156,514
82,63,155,249,186,140,93,124,483
83,63,156,249,170,140,77,139,499
84,63,156,233,171,156,93,124,561
85,63,140,233,171,156,93,124,546
86,63,156,234,171,140,62,124,546
87,63,140,249,186,124,78,124,499
88,63,140,218,187,140,62,140,483
89,63,140,249,186,156,78,156,483
90,80,140,249,186,140,62,202,795
91,80,155,249,171,155,78,202,826
92,80,156,233,171,156,93,155,857
93,80,140,264,186,156,78,171,810
94,80,140,233,186,155,93,187,826
95,80,156,249,187,124,78,202,873
96,80,156,234,187,140,78,171,811
97,80,156,233,186,155,78,187,811
98,80,156,217,170,155,93,171,795
99,80,140,249,171,140,108,171,857
100,100,155,233,202,156,93,218,1263
101,100,171,233,202,139,77,233,1201
102,100,155,233,171,140,78,249,1232
103,100,155,233,202,156,78,280,1201
104,100,140,218,187,140,78,264,1294
105,100,155,233,170,139,62,249,1232
106,100,140,218,186,140,78,264,1248
107,100,171,233,186,140,93,249,1263
108,100,140,249,187,124,93,234,1232
109,100,140,234,202,140,93,234,1232
110,127,155,249,217,140,93,312,1872
111,127,156,249,217,140,93,327,1825
112,127,156,249,187,139,93,327,1871
113,127,140,249,186,155,109,312,1887
114,127,156,265,202,139,93,327,1777
115,127,171,234,186,140,78,343,1856
116,127,140,265,171,155,78,327,1778
117,127,155,327,202,156,78,311,1903
118,127,156,264,187,140,78,342,1778
119,127,186,233,202,140,93,343,1840
120,160,124,249,187,171,77,483,2651
121,160,187,264,218,155,78,452,2885
122,160,155,249,202,156,93,483,2745
123,160,140,249,218,140,78,483,2792
124,160,156,248,217,140,109,483,2730
125,160,140,264,202,140,78,498,2683
126,160,140,280,234,124,109,483,2761
127,160,124,248,202,140,93,499,2776
128,160,155,265,249,156,78,498,2776
129,160,187,249,218,109,108,483,2730
130,201,155,264,233,124,140,733,3790
131,201,155,265,218,155,139,780,3977
132,201,156,264,218,156,124,702,3993
133,201,156,264,202,140,109,733,3900
134,201,140,264,202,156,93,748,3931
135,201,140,248,233,155,108,733,3900
136,201,171,265,218,171,108,702,3868
137,201,156,264,233,140,93,686,3868
138,201,156,280,233,156,108,702,3884
139,201,156,280,202,140,108,717,3868
140,254,156,280,233,155,77,1107,5569
141,254,202,280,233,171,124,1075,5584
142,254,171,280,233,171,109,1138,5506
143,254,156,311,233,187,124,1107,5599
144,254,156,296,249,140,109,1060,5662
145,254,171,280,233,156,139,1092,5600
146,254,187,280,218,155,139,1138,5740
147,254,156,280,233,156,108,1138,5709
148,254,171,265,233,156,124,1123,5599
149,254,140,280,218,156,140,1138,5584
150,320,171,342,264,171,155,1684,8142
151,320,156,327,264,156,139,1700,8142
152,320,156,311,264,155,202,1684,8127
153,320,156,327,265,156,140,1699,8236
154,320,171,327,265,171,156,1653,8267
155,320,171,280,296,155,155,1700,8173
156,320,156,296,280,156,140,1856,8252
157,320,156,327,280,139,156,1684,8267
158,320,171,296,296,155,155,1793,8065
159,320,171,312,264,171,156,1653,7940
160,403,171,358,296,171,202,2776,11262
161,403,202,342,312,171,202,2589,11341
162,403,202,374,312,156,187,2791,11107
163,403,171,358,311,171,202,2635,11450
164,403,187,342,327,187,202,2776,11263
165,403,171,358,296,156,202,2729,11325
166,403,202,358,312,187,186,2761,11075
167,403,202,389,326,186,186,2605,11231
168,403,171,358,280,171,171,2620,11122
169,403,171,358,327,171,217,2604,11262
170,508,187,405,374,187,280,4274,15000
171,508,186,420,358,171,280,4071,15000
172,508,202,420,389,187,249,4149,15000
173,508,187,405,405,202,280,4134,15000
174,508,187,421,374,187,280,4289,15000
175,508,217,404,389,202,296,4227,15000
176,508,202,452,358,171,327,4227,15000
177,508,202,436,374,202,280,4227,15000
178,508,202,436,358,202,311,4211,15000
179,508,187,420,358,186,233,4133,14960
180,640,218,592,529,218,452,6552,15000
181,640,218,561,499,233,374,6473,15000
182,640,234,545,498,218,389,6458,15000
183,640,218,561,483,218,467,6582,15000
184,640,218,561,514,202,452,6567,15000
185,640,218,530,545,202,467,6489,15000
186,640,234,592,514,234,358,6691,15000
187,640,217,560,514,218,389,6489,15000
188,640,233,545,498,217,482,6458,15000
189,640,218,545,514,218,421,6535,15000
190,807,264,826,670,248,685,10358,15000
191,807,280,811,686,265,638,10529,15000
192,807,296,763,686,249,701,10311,15000
193,807,327,763,764,249,717,10592,15000
194,807,280,795,654,249,717,10420,15000
195,807,280,748,701,264,670,10389,15000
196,807,280,764,655,265,623,10451,15000
197,807,265,764,654,265,655,10716,15000
198,807,264,826,639,248,701,10623,15000
199,807,264,811,654,233,639,10498,15000
200,1017,358,1170,904,326,1169,15000,15000
201,1017,436,1154,904,311,1138,15000,15000
202,1017,358,1169,935,327,1138,15000,15000
203,1017,374,1154,935,358,1107,15000,15000
204,1017,374,1169,920,342,1107,15000,15000
205,1017,374,1138,889,312,1107,15000,15000
206,1017,343,1154,904,326,1044,15000,15000
207,1017,326,1169,888,311,1138,15000,15000
208,1017,358,1154,904,327,1029,15000,15000
209,1017,358,1153,919,311,1107,15000,15000
210,1281,514,2043,1419,420,1652,15000,15000
211,1281,498,1950,1325,436,1606,15000,15000
212,1281,482,2074,1418,420,1684,15000,15000
213,1281,483,2027,1372,405,1544,15000,15000
214,1281,514,1996,1465,405,1747,15000,15000
215,1281,483,1902,1340,404,1777,15000,15000
216,1281,499,1996,1356,421,1637,15000,15000
217,1281,482,1949,1403,436,1621,15000,15000
218,1281,514,1980,1466,436,1606,15000,15000
219,1281,483,1964,1340,436,1575,15000,15000
220,1614,701,3587,1996,592,2480,15000,15000
221,1614,716,3665,1934,576,2589,15000,15000
222,1614,748,3572,1981,592,2636,15000,15000
223,1614,701,3619,1996,592,2464,15000,15000
224,1614,748,3572,1980,576,2729,15000,15000
225,1614,702,3587,1996,608,2636,15000,15000
226,1614,670,3588,2121,608,2620,15000,15000
227,1614,716,3790,2090,607,2667,15000,15000
228,1614,701,3712,2012,607,2652,15000,15000
229,1614,670,3540,2074,623,2605,15000,15000
230,2034,1060,7191,3119,872,4632,15000,15000
231,2034,1091,6972,3010,826,4461,15000,15000
232,2034,1060,7191,3010,889,4320,15000,15000
233,2034,1013,7268,2917,841,4632,15000,15000
234,2034,1029,7159,3026,842,4211,15000,15000
235,2034,1138,6988,2901,826,4383,15000,15000
236,2034,1013,7160,2947,842,4242,15000,15000
237,2034,982,7144,2979,842,4243,15000,15000
238,2034,1013,7222,2854,841,4227,15000,15000
239,2034,1029,7144,2932,795,4258,15000,15000
240,2563,1543,14881,4601,1278,6785,15000,15000
241,2563,1590,14742,4663,1247,7004,15000,15000
242,2563,1544,15000,4632,1216,7300,15000,15000
243,2563,1591,14850,4804,1201,6894,15000,15000
244,2563,1559,14851,4726,1263,7409,15000,15000
245,2563,1575,14819,4632,1248,7051,15000,15000
246,2563,1544,14757,4804,1263,6676,15000,15000
247,2563,1544,14991,4663,1310,6894,15000,15000
248,2563,1575,14632,4695,1200,6863,15000,15000
249,2563,1575,14539,4695,1263,7128,15000,15000
250,3230,2355,15000,7191,1887,12074,15000,15000
251,3230,2433,15000,7300,1840,11388,15000,15000
252,3230,2495,15000,7051,1871,11138,15000,15000
253,3230,2464,15000,7035,1887,11730,15000,15000
254,3230,2371,15000,7425,1856,11496,15000,15000
255,3230,2401,15000,6972,1887,11138,15000,15000
256,3230,2464,15000,7097,1918,11465,15000,15000
257,3230,2417,15000,6894,1887,11153,15000,15000
258,3230,2401,15000,7362,1949,11231,15000,15000
259,3230,2355,15000,7253,1855,11480,15000,15000
260,4070,3759,15000,10482,2885,15000,15000,15000
261,4070,3790,15000,11372,2932,15000,15000,15000
262,4070,3962,15000,10748,2869,15000,15000,15000
263,4070,3744,15000,10841,2854,15000,15000,15000
264,4070,3743,15000,10561,2807,15000,15000,15000
265,4070,4040,15000,10607,2901,15000,15000,15000
266,4070,3775,15000,10685,2870,15000,15000,15000
267,4070,3758,15000,10560,2854,15000,15000,15000
268,4070,3728,15000,11060,2839,15000,15000,15000
269,4070,3821,15000,10826,2869,15000,15000,15000
